Town,Population
ANDOVER,"3,150"
ANSONIA,"18,923"
ASHFORD,"4,222"
AVON,"18,871"
BARKHAMSTED,"3,667"
BEACON FALLS,"6,126"
BERLIN,"20,197"
BETHANY,"5,277"
BETHEL,"20,684"
BETHLEHEM,"3,409"
BLOOMFIELD,"21,560"
BOLTON,"4,834"
BOZRAH,"2,420"
BRANFORD,"28,148"
BRIDGEPORT,"148,377"
BRIDGEWATER,"1,652"
BRISTOL,"61,330"
BROOKFIELD,"17,543"
BROOKLYN,"8,502"
BURLINGTON,"9,710"
CANAAN,"1,081"
CANTERBURY,"5,102"
CANTON,"10,091"
CHAPLIN,"2,156"
CHESHIRE,"28,994"
CHESTER,"3,757"
CLINTON,"13,399"
COLCHESTER,"15,572"
COLEBROOK,"1,369"
COLUMBIA,"5,258"
CORNWALL,"1,573"
COVENTRY,"12,285"
CROMWELL,"14,317"
DANBURY,"86,967"
DARIEN,"21,926"
DEEP RIVER,"4,445"
DERBY,"12,358"
DURHAM,"7,207"
EAST GRANBY,"5,218"
EAST HADDAM,"8,949"
EAST HAMPTON,"12,960"
EAST HARTFORD,"50,718"
EAST HAVEN,"27,682"
EAST LYME,"18,788"
EAST WINDSOR,"11,176"
EASTFORD,"1,675"
EASTON,"7,630"
ELLINGTON,"16,977"
ENFIELD,"41,245"
ESSEX,"6,793"
FAIRFIELD,"62,871"
FARMINGTON,"26,728"
FRANKLIN,"1,881"
GLASTONBURY,"35,199"
GOSHEN,"3,203"
GRANBY,"11,041"
GREENWICH,"63,638"
GRISWOLD,"11,509"
GROTON,"37,743"
GUILFORD,"22,019"
HADDAM,"8,670"
HAMDEN,"60,809"
HAMPTON,"1,738"
HARTFORD,"120,686"
HARTLAND,"1,908"
HARWINTON,"5,562"
HEBRON,"9,121"
KENT,"3,051"
KILLINGLY,"17,837"
KILLINGWORTH,"6,239"
LEBANON,"7,132"
LEDYARD,"15,456"
LISBON,"4,242"
LITCHFIELD,"8,279"
LYME,"2,401"
MADISON,"17,565"
MANCHESTER,"59,461"
MANSFIELD,"31,949"
MARLBOROUGH,"6,109"
MERIDEN,"60,242"
MIDDLEBURY,"7,807"
MIDDLEFIELD,"4,248"
MIDDLETOWN,"48,729"
MILFORD,"52,679"
MONROE,"18,796"
MONTVILLE,"17,891"
MORRIS,"2,267"
NAUGATUCK,"31,705"
NEW BRITAIN,"74,396"
NEW CANAAN,"20,775"
NEW FAIRFIELD,"13,536"
NEW HARTFORD,"6,698"
NEW HAVEN,"138,915"
NEW LONDON,"27,980"
NEW MILFORD,"28,275"
NEWINGTON,"30,356"
NEWTOWN,"27,577"
NORFOLK,"1,594"
NORTH BRANFORD,"13,464"
NORTH CANAAN,"3,209"
NORTH HAVEN,"24,114"
NORTH STONINGTON,"5,174"
NORWALK,"91,401"
NORWICH,"40,009"
OLD LYME,"7,684"
OLD SAYBROOK,"10,535"
ORANGE,"14,258"
OXFORD,"12,941"
PLAINFIELD,"15,143"
PLAINVILLE,"17,479"
PLYMOUTH,"11,711"
POMFRET,"4,307"
PORTLAND,"9,429"
PRESTON,"4,840"
PROSPECT,"9,435"
PUTNAM,"9,302"
REDDING,"8,746"
RIDGEFIELD,"25,007"
ROCKY HILL,"20,712"
ROXBURY,"2,279"
SALEM,"4,326"
SALISBURY,"4,239"
SCOTLAND,"1,577"
SEYMOUR,"16,809"
SHARON,"2,724"
SHELTON,"41,897"
SHERMAN,"3,537"
SIMSBURY,"24,935"
SOMERS,"9,843"
SOUTH WINDSOR,"26,783"
SOUTHBURY,"19,979"
SOUTHINGTON,"43,753"
SPRAGUE,"2,958"
STAFFORD,"11,449"
STAMFORD,"136,188"
STERLING,"3,623"
STONINGTON,"18,480"
STRATFORD,"52,477"
SUFFIELD,"15,731"
THOMASTON,"7,468"
THOMPSON,"9,315"
TOLLAND,"14,577"
TORRINGTON,"35,563"
TRUMBULL,"37,135"
UNION,793
VERNON,"30,625"
VOLUNTOWN,"2,592"
WALLINGFORD,"44,017"
WARREN,"1,352"
WASHINGTON,"3,666"
WATERBURY,"115,016"
WATERFORD,"19,603"
WATERTOWN,"22,183"
WEST HARTFORD,"64,271"
WEST HAVEN,"55,004"
WESTBROOK,"6,860"
WESTON,"10,354"
WESTPORT,"27,427"
WETHERSFIELD,"27,129"
WILLINGTON,"5,544"
WILTON,"18,457"
WINCHESTER,"10,240"
WINDHAM,"24,399"
WINDSOR,"29,453"
WINDSOR LOCKS,"12,537"
WOLCOTT,"16,190"
WOODBRIDGE,"9,051"
WOODBURY,"9,802"
WOODSTOCK,"8,312"